time,channel,state,result
2026-04-28T10:17:26.222725,0,ON,OK
2026-04-28T10:17:27.221009,0,OFF,OK
2026-04-28T10:17:27.889480,1,ON,OK
2026-04-28T10:17:28.253174,1,OFF,OK
2026-04-28T10:17:29.467031,-1,ON,ALL
2026-04-28T10:17:31.021277,-1,ON,ALL
2026-04-28T10:17:32.822690,-1,OFF,ALL
2026-04-28T10:17:35.466852,7,ON,OK
2026-04-28T10:17:36.148152,7,ON,OK
2026-04-28T10:17:37.490386,7,OFF,OK
2026-04-28T10:18:09.934622,0,ON,OK
2026-04-28T10:18:12.996169,0,OFF,OK
2026-04-28T10:18:53.979010,0,ON,OK
2026-04-28T10:18:54.591787,0,OFF,OK
2026-04-28T10:21:10.970725,0,ON,OK
2026-04-28T10:21:11.802824,0,OFF,OK
2026-04-28T10:21:12.200499,-1,ON,ALL
2026-04-28T10:21:13.550296,-1,OFF,ALL
2026-04-28T10:21:15.631097,-1,OFF,ALL
2026-04-28T10:21:17.773892,7,ON,OK
2026-04-28T10:21:19.101009,7,ON,OK
2026-04-28T10:21:21.828630,7,OFF,OK
2026-04-28T11:06:21.272995,2,ON,OK
2026-04-28T11:06:22.546073,2,OFF,OK
2026-04-28T11:06:25.073745,2,OFF,OK
2026-04-28T11:06:26.671901,6,ON,OK
2026-04-28T11:06:28.531202,6,ON,OK
2026-04-28T11:06:29.648432,6,OFF,OK
2026-04-28T11:06:32.031683,1,ON,OK
2026-04-28T11:06:33.668512,1,OFF,OK
2026-04-28T11:23:40.564969,0,ON,OK
2026-04-28T11:23:42.859341,0,OFF,OK
2026-04-28T11:42:15.234407,0,ON,OK
2026-04-28T11:42:16.774402,0,OFF,OK
2026-04-28T11:42:22.199290,5,ON,OK
2026-04-28T11:42:25.494788,5,OFF,OK
2026-04-28T11:42:28.134566,5,ON,OK
2026-04-28T11:42:29.201341,5,OFF,OK
2026-04-28T12:28:44.635404,0,ON,OK
2026-04-28T12:28:45.464097,0,OFF,OK
2026-04-28T12:58:18.785498,7,ON,OK
2026-04-28T12:58:22.794824,-1,ON,ALL
2026-04-28T12:58:25.641841,7,OFF,OK
2026-04-28T12:58:28.839593,6,OFF,OK
2026-04-28T12:58:30.987432,5,OFF,OK
2026-04-28T12:58:32.146756,4,OFF,OK
2026-04-28T12:58:33.592418,0,OFF,OK
2026-04-28T12:58:34.540457,1,OFF,OK
2026-04-28T12:58:35.465856,2,OFF,OK
2026-04-28T12:58:36.466157,3,OFF,OK
2026-04-28T13:01:19.023422,7,ON,OK
2026-04-28T13:01:22.540617,7,OFF,OK
2026-04-28T13:03:37.524503,7,ON,OK
2026-04-28T13:03:39.146830,7,OFF,OK
2026-04-28T13:03:47.465802,4,ON,OK
2026-04-28T13:03:48.605056,4,OFF,OK
2026-04-28T13:03:50.984062,5,ON,OK
2026-04-28T13:03:52.186149,5,ON,OK
2026-04-28T13:03:53.615789,5,OFF,OK
2026-04-28T13:03:54.862663,5,ON,OK
2026-04-28T13:04:00.702598,5,OFF,OK
2026-04-28T13:04:09.466352,3,ON,OK
2026-04-28T13:04:15.226013,3,OFF,OK
2026-04-28T13:04:17.699930,6,ON,OK
2026-04-28T13:04:19.153390,6,OFF,OK
2026-04-28T13:53:29.229882,7,ON,OK
2026-04-28T13:53:33.219329,7,OFF,OK
2026-04-28T13:53:36.974334,-1,ON,ALL
2026-04-28T13:53:38.801767,-1,OFF,ALL
2026-04-28T13:53:40.293279,0,ON,OK
2026-04-28T13:53:41.714477,0,OFF,OK
2026-04-28T13:53:45.473126,4,ON,OK
2026-04-28T13:53:51.560878,4,OFF,OK
2026-04-28T13:58:50.630372,0,ON,OK
2026-04-28T13:58:54.620135,0,OFF,OK
2026-04-28T13:58:56.179984,7,ON,OK
2026-04-28T13:59:01.924856,7,OFF,OK
2026-04-28T13:59:04.048396,1,ON,OK
2026-04-28T13:59:05.994008,0,ON,OK
2026-04-28T13:59:10.288010,1,OFF,OK
2026-04-28T13:59:11.110367,0,OFF,OK
2026-04-28T14:17:48.466476,7,ON,OK
2026-04-28T14:17:49.967760,7,OFF,OK
