time,channel,state,result
2026-02-03T17:41:52.288246,6,ON,OK
2026-02-03T17:41:53.288987,6,ON,OK
2026-02-03T17:41:54.288840,6,ON,OK
2026-02-03T17:42:01.200942,7,ON,OK
2026-02-03T17:42:02.204107,7,ON,OK
2026-02-03T17:42:03.204110,7,ON,OK
2026-02-03T17:42:04.204072,7,ON,OK
2026-02-03T17:42:05.204261,7,ON,OK
2026-02-03T17:42:12.443504,8,OFF,INVALID_CHANNEL
2026-02-03T17:42:13.445720,8,OFF,INVALID_CHANNEL
2026-02-03T17:42:14.818078,8,OFF,INVALID_CHANNEL
2026-02-03T17:42:15.445096,8,OFF,INVALID_CHANNEL
2026-02-03T17:42:16.445466,8,OFF,INVALID_CHANNEL
2026-02-03T17:42:17.445846,8,OFF,INVALID_CHANNEL
2026-02-03T17:42:43.716555,7,OFF,OK
2026-02-03T17:42:44.719283,7,OFF,OK
2026-02-03T17:42:45.718992,7,OFF,OK
2026-02-03T17:42:46.718819,7,OFF,OK
2026-02-03T17:42:47.719508,7,OFF,OK
2026-02-03T17:42:53.774565,6,OFF,OK
2026-02-03T17:42:54.776796,6,OFF,OK
2026-02-03T17:42:55.776724,6,OFF,OK
2026-02-03T17:42:56.777221,6,OFF,OK
2026-02-03T17:42:57.777067,6,OFF,OK
2026-02-03T17:42:58.776584,6,OFF,OK
2026-02-03T17:43:14.632049,6,ON,OK
2026-02-03T17:43:15.634473,6,ON,OK
2026-02-03T17:43:16.634240,6,ON,OK
2026-02-03T17:43:17.634699,6,ON,OK
2026-02-03T17:43:18.635120,6,ON,OK
2026-02-03T17:43:19.634709,6,ON,OK
2026-02-03T17:43:20.634648,6,ON,OK
2026-02-03T17:43:31.072951,8,OFF,INVALID_CHANNEL
2026-02-03T17:43:32.075404,8,OFF,INVALID_CHANNEL
2026-02-03T17:43:33.075222,8,OFF,INVALID_CHANNEL
2026-02-03T17:43:34.075222,8,OFF,INVALID_CHANNEL
2026-02-03T17:43:35.075320,8,OFF,INVALID_CHANNEL
2026-02-03T17:43:36.074980,8,OFF,INVALID_CHANNEL
2026-02-03T17:43:37.075287,8,OFF,INVALID_CHANNEL
2026-02-03T17:43:38.075305,8,OFF,INVALID_CHANNEL
